customer_id,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,engagement_score,purchase_interest_score,social_media_platform,review_sentiment,days_since_purchase,engagement_x_interest
151,1001,408,2024-01-01,Sports,2.3,71.66666666666667,2.1666666666666665,Twitter,Neutral,929,155.27777777777777
192,1002,332,2024-01-02,Electronics,4.2,60.0,4.3,Instagram,Positive,928,258.0
114,1003,442,2024-01-03,Electronics,2.1,87.0,4.8,Facebook,Negative,927,417.59999999999997
160,1005,64,2024-01-05,Clothing,1.3,72.66666666666667,2.5,Instagram,Neutral,925,181.66666666666669
120,1006,395,2024-01-06,Groceries,1.1,77.0,2.6666666666666665,Instagram,Positive,924,205.33333333333331
182,1007,91,2024-01-07,Sports,4.9,57.0,1.2,Twitter,Negative,923,68.39999999999999
186,1008,429,2024-01-08,Clothing,4.3,79.0,2.8,TikTok,Positive,922,221.2
174,1009,228,2024-01-09,Electronics,3.8,79.5,3.3499999999999996,Facebook,Neutral,921,266.325
174,1010,112,2024-01-10,Sports,2.6,79.5,3.3499999999999996,Facebook,Neutral,920,266.325
187,1011,401,2024-01-11,Sports,1.7,85.66666666666667,2.733333333333334,Instagram,Negative,919,234.15555555555562
199,1012,280,2024-01-12,Electronics,1.6,57.0,1.8,LinkedIn,Positive,918,102.60000000000001
102,1014,101,2024-01-14,Electronics,3.2,51.0,4.8,LinkedIn,Neutral,916,244.79999999999998
121,1015,145,2024-01-15,Sports,3.9,84.5,3.35,LinkedIn,Neutral,915,283.075
152,1016,437,2024-01-16,Books,3.6,88.0,4.15,Facebook,Positive,914,365.20000000000005
101,1017,271,2024-01-17,Books,2.1,68.0,1.0,Twitter,Neutral,913,68.0
187,1018,456,2024-01-18,Groceries,4.8,85.66666666666667,2.733333333333334,Instagram,Negative,912,234.15555555555562
129,1019,280,2024-01-19,Electronics,4.0,54.0,4.5,Twitter,Neutral,911,243.0
137,1020,286,2024-01-20,Electronics,3.2,96.0,3.3,LinkedIn,Neutral,910,316.79999999999995
101,1021,192,2024-01-21,Groceries,3.4,68.0,1.0,Twitter,Neutral,909,68.0
163,1022,220,2024-01-22,Groceries,2.7,74.5,3.6,TikTok,Neutral,908,268.2
120,1024,85,2024-01-24,Sports,2.4,77.0,2.6666666666666665,Instagram,Positive,906,205.33333333333331
132,1025,62,2024-01-25,Electronics,4.0,63.0,3.3,LinkedIn,Positive,905,207.89999999999998
121,1028,236,2024-01-28,Electronics,1.2,84.5,3.35,LinkedIn,Neutral,902,283.075
188,1029,292,2024-01-29,Sports,1.2,50.0,3.6,TikTok,Positive,901,180.0
148,1030,135,2024-01-30,Sports,4.4,75.0,1.7,Facebook,Neutral,900,127.5
190,1031,333,2024-01-31,Groceries,3.8,82.0,4.8,Twitter,Neutral,899,393.59999999999997
158,1032,115,2024-02-01,Electronics,2.9,75.66666666666667,2.9,Instagram,Negative,898,219.43333333333334
141,1033,219,2024-02-02,Groceries,1.4,94.5,3.3499999999999996,LinkedIn,Negative,897,316.575
191,1034,94,2024-02-03,Electronics,3.0,92.0,2.1,Facebook,Positive,896,193.20000000000002
179,1036,490,2024-02-05,Clothing,1.7,50.0,3.0,Twitter,Negative,894,150.0
