person,phrase,augmentation,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,spectral_rolloff_mean,spectral_rolloff_std,energy_mean,energy_std,zero_crossing_rate_mean
member1,approve,original,-202.16134643554688,21.669946670532227,27.741064071655273,29.64342498779297,23.139352798461914,22.75371742248535,13.860087394714355,13.774353981018066,5.893405437469482,5.327487945556641,-2.870906352996826,3.7407844066619873,-8.715700149536133,7.2996368408203125,-9.54841136932373,8.283539772033691,-9.430968284606934,8.487255096435547,-6.352650165557861,6.717916965484619,-2.9219579696655273,4.317322254180908,-0.8055528998374939,2.9398186206817627,0.7268646359443665,3.027101993560791,4260.788690476191,2304.31541612851,0.237590029835701,0.19974449276924133,0.25096881200396826
member1,approve,pitch_shifted,-245.67013549804688,29.068252563476562,35.34101867675781,32.134342193603516,23.747356414794922,21.402711868286133,15.883898735046387,9.245732307434082,-1.9166094064712524,2.7867074012756348,-7.384427547454834,7.6005024909973145,-14.788911819458008,9.335500717163086,-8.475830078125,8.851509094238281,-11.113531112670898,6.309080123901367,-0.7366093993186951,4.026474475860596,-5.013620853424072,3.627227783203125,0.26556918025016785,3.544900417327881,-10.291238784790039,5.902803897857666,3654.2658730158732,2477.182254121596,0.1717710644006729,0.1542171984910965,0.2100151909722222
member1,approve,noisy,-133.26621813015322,16.125778600079556,21.87563717138128,22.537220119236373,19.262077690296238,17.701247332206684,11.51697733443566,11.49703989289168,4.571225534365436,5.543674789824054,-2.1158672947501165,3.342169451354577,-6.589201076237457,6.046348389602215,-7.920209961818566,7.524963453611683,-7.73471543886514,7.624199621360546,-5.734233994350004,5.737654774885461,-3.1627041100560387,3.91654308453523,-1.3722044687782569,2.850052312826284,-0.35656076627691485,2.992982917795218,5593.75,1122.9822003030238,0.24286724627017975,0.19432814419269562,0.2509920634920635
member1,approve,time_stretched,-278.11962890625,100.15245056152344,27.158056259155273,30.202693939208984,23.442378997802734,23.1646785736084,13.715529441833496,13.970333099365234,5.712666988372803,5.714950084686279,-2.3197195529937744,3.814707040786743,-8.014246940612793,7.539706707000732,-9.75532054901123,8.617433547973633,-9.458157539367676,9.209623336791992,-6.543049335479736,6.514759540557861,-3.086988687515259,4.366567611694336,-1.3017653226852417,2.9496874809265137,0.0020598911214619875,2.5529799461364746,3501.8601190476193,2716.4797476165,0.16357135772705078,0.16905555129051208,0.1829349578373016
member1,confirm,original,-201.161376953125,22.391963958740234,32.47998809814453,31.244285583496094,30.056556701660156,25.07173728942871,20.31914520263672,16.815866470336914,10.306840896606445,9.431375503540039,2.07574462890625,3.2757070064544678,-5.44819450378418,4.91731595993042,-9.729323387145996,8.559488296508789,-11.07581901550293,9.017659187316895,-10.225297927856445,7.933098793029785,-7.555322170257568,6.555866718292236,-4.271921634674072,5.029909610748291,-2.0906827449798584,2.9045166969299316,4047.8670634920636,2332.1154231004953,0.24321278929710388,0.18575341999530792,0.24723307291666666
member1,confirm,pitch_shifted,-241.78652954101562,26.964981079101562,43.374881744384766,31.225112915039062,32.22084426879883,22.749671936035156,21.999799728393555,12.44224739074707,2.443575143814087,4.294630527496338,-4.422883033752441,5.524010181427002,-16.84583282470703,10.161351203918457,-11.99370288848877,10.637429237365723,-14.932805061340332,7.87801456451416,-4.299816608428955,5.859071731567383,-5.251738548278809,4.47426176071167,0.12763436138629913,3.5857999324798584,-6.29024600982666,4.6221604347229,3643.2291666666665,2273.7121332920233,0.1524529606103897,0.12732654809951782,0.18291945684523808
member1,confirm,noisy,-132.13631202003523,18.007666956410265,25.051850760675578,24.291765898058753,23.550002712280463,20.74823446869372,16.752828093912537,12.578327549292645,8.38392019336847,6.504086426598329,0.7477418903514115,2.5973843650352886,-4.2368052249767265,3.5375363388367087,-7.284742627452961,6.3251224436066975,-8.141140078335884,7.019767019129558,-7.527683668582928,6.941345641883947,-5.209069563590366,4.6119892161099125,-3.4189387281992096,3.9272136001983657,-2.467312182850607,3.2157688554796753,5518.973214285715,1089.3332326839425,0.2473783940076828,0.18113300204277039,0.25194537450396826
member1,confirm,time_stretched,-273.6755676269531,98.56503295898438,33.99033737182617,30.088722229003906,31.09446907043457,24.217735290527344,20.835081100463867,16.1086483001709,10.606561660766602,8.308249473571777,2.1558003425598145,3.139101266860962,-5.404445171356201,4.8030290603637695,-9.378888130187988,7.546624660491943,-11.00059700012207,8.307482719421387,-10.067148208618164,7.4562482833862305,-7.68056058883667,6.404218673706055,-3.845362663269043,4.054364204406738,-1.6624120473861694,2.986294746398926,3371.155753968254,2547.224508370002,0.16852281987667084,0.15486997365951538,0.14794146825396826
member2,approve,original,-202.11097717285156,21.410512924194336,30.460676193237305,29.567359924316406,28.63100814819336,24.601476669311523,22.205371856689453,19.249963760375977,14.65091609954834,13.303163528442383,7.620221138000488,6.329547882080078,1.5191067457199097,2.9160287380218506,-5.840785503387451,4.740021228790283,-8.625123977661133,7.529494285583496,-10.326238632202148,9.197805404663086,-10.4332914352417,9.557295799255371,-7.820616722106934,7.1452178955078125,-5.294040679931641,6.020009517669678,4222.8422619047615,2353.492012285575,0.23411762714385986,0.19692008197307587,0.24862816220238096
member2,approve,pitch_shifted,-247.1356658935547,27.394195556640625,36.961490631103516,30.71426010131836,29.968334197998047,24.40822982788086,24.808795928955078,17.628297805786133,9.135173797607422,9.618426322937012,4.232760906219482,3.1471123695373535,-8.185473442077637,5.847462177276611,-7.940501689910889,8.522974967956543,-11.6087646484375,10.234044075012207,-6.918747901916504,9.42686939239502,-7.523002624511719,6.386443614959717,-0.8123372197151184,4.899694919586182,-3.643481969833374,3.5961780548095703,3612.5992063492063,2581.882946477219,0.19045616686344147,0.16414450109004974,0.1977694072420635
